pi1905,4,32761,['2021-02-12'],你以为你已经很爱很爱妈妈了，但妈妈远比你想象中更爱更爱更爱你。
vc,4,14591,['2021-02-12'],有笑有泪的，不明白陈赫这个人物有什么作用，完全多余
豌豆仁儿,4,10170,['2021-02-12'],能理解贾玲执意拍这部电影，在惹妈妈生气了十几年终于有能力回报妈妈的时候，妈妈离自己而去，这种无能无力的遗憾感实在是太难受了。她不是因为想当导演拍了这部电影，而是因为想拍这部给妈妈的电影才当导演。今年没回家过年，想给我妈打个电话，告诉她等等我，过两天就回去看她了。
盲忙,4,6535,['2021-02-12'],笑后有泪，温暖感动却不过分煽情，它正是这个春节最需要的电影。期待贾玲和沈腾这两位喜剧界扛把子的合作已经很久了，这部终于让愿望达成，两位除了保有鲜明的个人特色外，还催出了不一样的化学效应。尤其是沈腾，这次塑造的角色非常另类。最难得的是，本片还塑造了一个独立而自强的母亲形象，也在提醒我们：她是母亲，但她更是自己，身为儿女一定不要忘记这一点，在她们对我们有求必应的同时，我们更要尊重她们作为一个独立的人的存在。而对于今年过年不能回家的我来说，看完后更加想念母亲了，她也是从片中那个时代的国营单位走出来的，想要回家陪她再看一次，她一定会觉得像回到自己的年轻时代，希望还能赶得上！
停止狡辩,4,6023,['2021-02-13'],跟唐人街探案三的分数相比，很明显观众们评判电影的标准不仅在于你拍的好坏，而更在于你拍的态度是否真诚
Augenstern,5,17586,['2021-02-12'],贾玲：我给你们讲个笑话，你们别哭。
惊蛰小白,4,4656,['2021-02-12'],这扑面而来的复古系笑感啊哈哈哈哈哈，感觉是属于母上大人的时代精彩~~片子笑点暖点可可爱爱，冷不丁就还让人会鼻头一酸。不得不讲啊，old school还是很触动我的。这亲情治愈系的喜剧是妥妥符合春节档可以约上爸妈一起看电影的了，毕竟给爸妈安利贾玲&沈腾真的毫不费力哈哈哈~~然后更重要的是，贾玲镜头下的张小斐，灰常美啊，不单是女儿滤镜，这个女性视角下的女性，让人觉得是这般温暖且充满力量呢
不良生,4,2784,['2021-02-12'],我们都想为所爱的人做点儿什么。有人写书，有人弹唱歌，有人拍剧。如果这个人不在了， 更想好好明证他/她曾在这世界认真用力活过。贾玲选择了留下这一部电影。我喜欢贾玲身上有一种破裂和恸哭之后重新缝补起来的浑然而豁朗的快乐感，这种“笑着活下去”的乐天姿态渗透在电影里，就是你即使知道它的结局是伤感的，依然为过程中那些欢乐的时刻而真的开怀。它温暖，治愈，真挚，哀而不伤。而无论是小品还是电影，都让我在欢笑时眼眶湿湿。贾玲在电影里，终于与她的母亲偿还了一场重逢的梦——这便是世间文艺作品的力量吧，让我们与我们生命里的“李焕英”们都能有一个机会轻轻道念一声：你好啊，我很好。
蛋黄已跑路,3,7871,['2021-02-12'],沈腾的戏份约等于欢乐颂男主，其他不评论
温岭阿浪,5,13377,['2021-02-12'],"国产+喜剧+催泪＝烂片，这是豆瓣一贯的作风，因此我知道自己的评分一定不会公允，这里有掺杂太多我的主观感受：有生以来第一次在电影院哭得泣不成声。
昨晚是除夕，我和妈妈大吵了一架。她气得直骂我没良心、白眼狼，我爸也心寒地把我妈牵到楼下，说不指望以后让我给他们养老。
凌晨的时候，我给我妈朋友圈的拜年视频点了个赞，并发给她一个拜年红包，和她说“今晚我脾气不好，你别往心里去”我妈收下红包，给我发来好多幸福快乐的祝福。
今天看到这电影，许多情节点都让我泪眼婆娑，直到女儿明白真相后，一路奔跑的那一段蒙太奇，我极力掩着眼泪，把哭声压到最小。
观影是一个创作者通过作品感染观众的过程，无论它是否合乎艺术规律，只要能让观众感动，它就值得那个观众为它叫好，不必因为它是国产片就舍不得掌声。"
Raremore,5,12173,['2021-02-12'],"“我宝”那句出来的时候真的直接泪奔
我以为只有我回到了1981,我以为我可以牺牲我自己改变你往后的命运，我以为你可以更幸福的，我没想到你愿意过的就是摊上我的这一生😭"
韦斯安徒生,3,2288,['2021-02-12'],贾玲水平有限，奈何感情无比真挚。虽然结尾让我哭的稀里哗啦，但也没能改变前半段就是个低配版夏洛特烦恼的状况。
再懒不能懒ID,4,2127,['2021-02-14'],我以为是我在为你圆梦，其实还是你陪着我做了一场好梦。
想睡觉,4,1873,['2021-02-13'],你以为你已经很爱很爱妈妈了，但妈妈远比你想象中更爱更爱更爱你
徐若风,4,1612,['2021-02-12'],贾玲以年代穿越设定+温情喜剧的形式，为自己离开的母亲打造了一场缅爱的仪式。笑梗包袱，不仅是裹住内在情感的调和剂，也是一种回望心中伤口时的疗愈方式，对创作者与观众之间有着双向互通的意义。时空错位的背后，是已然失去的、不能继续陪伴的遗憾。唯一一部带妈妈看的春节档电影，确实是个应景的选择，她全程情感代入到了跌宕起伏的地步。
花渡紫陌,4,1539,['2021-02-12'],这个底太好了，比起以往穿越片的个人救赎迈的更深了一步。本以为影片会如同以往的俗套一般会终结在「希望孩子健康快乐」上，没想到结尾以针线为引，将「无论你在哪里我都会找到你并且保护你」的母爱穿进了观众的心里，以个人故事为本，动了真情的贾玲担得起导演的称呼。在喜剧元素上，影片也做的十分自然，不刻意不尴尬，更是在演员的选角上玩出了花，乔杉和贾玲的父女堪比去年黄渤和彭昱畅。
фю,5,9583,['2021-02-12'],"《你好，李焕英》（X）
《关于妈妈用异世界转生工具去参加试炼这档子事》（X）
《Hi，mom》（√）
神作，绝对的神作。这不比《成神之日》催泪？这不比《半妖的夜叉姬》用心？
2.17补：3刷了，这将会在中国电影届刻下一座里程碑。这必定影史留名。"
Sanny,3,2030,['2021-02-12'],这完全是贾玲拍给自己的作品，不是拍给观众的，充满了个人的执念。
电影榨汁,4,1068,['2021-02-12'],久违的让我又哭又笑的作品，有许多可爱的笑话，看哭三次，朴实又深情。电影结束在想，如果我可以穿越到妈妈年轻的时候，可能会告诉她一定要很多书，只为自己活，即使一辈子不结婚也要去争取幸福的权利。
豆川,3,885,['2021-02-13'],前一个小时强行塞包袱，后面干嚎占二十分钟。。。
晴天,1,1329,['2021-02-12'],真是什么人都能当导演，都赶不上昨晚吴京和甄子丹的猫爪对打
天马星,2,5450,['2021-02-12'],郭敬明开创了PPT电影，开心麻花开创了舞台剧电影，贾玲开创了小品电影，他们都是前途光明的人。
电影幕后故事,4,776,['2021-02-12'],节奏感好，是贾玲天生的喜剧天赋。最后十分钟反转直接泪崩，为什么，因为我们每个人（30岁以上）都对妈妈有愧。这种愧疚，我们只能躲在电影院，幽暗的空间放声大哭。走出影院的那一刻，心变得又柔软一点。
Ne.,5,8185,['2021-02-12'],真诚打动内心，没办法客观评价
北投少年他,2,1273,['2021-02-12'],把二十多分钟的小品拉长到两个小时，没有好导演和好剧本还是省省吧。
𓆝𓆟𓆜𓆞𓆡,5,7597,['2021-02-12'],感谢编剧没有让李焕英以少胜多赢下排球赛。这个剧其实好就好在它的质朴情感上。没有什么输赢胜负，也没有什么人生逆袭改变命运。穿越回来只为了让你开心。不完美的小人物在闪闪发光。
王食欲,5,4625,['2021-02-13'],在电影院哭得稀里哗啦。隔壁座的小姐姐也在哭。她问我：想妈了？我说：嗯！小姐姐：你也春节没回家？我指了指前面：我妈坐第三排，我俩没买着连号的座。这下小姐姐哭得更凶了。
看个电影不容易,1,883,['2021-02-12'],贾玲昨晚的喜剧已经尴尬到我了… 这个导演的电影真的更加尴尬… 还是好好当个综艺咖吧！电影就算了…别伤害影迷的眼睛了…
亵渎电影,4,708,['2021-02-12'],如果你要陪长辈看电影的话，那就看这部吧。基本上就是贾玲版的《夏洛特烦恼》，完成度很好，笑点和泪点都到位，感觉会是春节档期大众口碑最坚挺的一部电影。一开始你以为这是一个熟悉的穿越设定，最后一反转，你会发现这不仅仅是一次穿越，而穿越的背后正应了母女情的主题。完了结尾的字幕又补了一刀，原来这是贾玲自己的经历，用这样一部电影去追忆母亲年轻时的样子。穿越回八十年代，从工厂记忆，女排比赛，黑白电视到祖父悖论，都是能引发几代人共鸣的设计，以前都是看贾玲笑，这次是看贾玲哭，很多人却是跟着她笑着哭。
私享史,3,636,['2021-02-12'],"7分。豆瓣8.2分我是真觉得过分了，就电影论电影的话，贾玲这部作品最大的问题在于它不太像电影（但也确实比小品形态提升了不少）。如果无视这一点，主要凭是否感动或者哭了多少眼泪来评价它的优劣，那就好比让情色片与AV同台竞技，主要凭观众生理反应的指标来评价优劣。 
同样是女性导演的亲情题材，许鞍华《桃姐》8.3分，张艾嘉《相爱相亲》8.4分，就是把贾玲纪念母亲的真诚用心全算上，它跟蒋雯丽《我们天上见》——同样演员出身的导演处女作，同样纪念自己至亲——也差了几条街，后者的确是一部电影，蒋雯丽之后没再做导演让我觉得可惜，而贾玲如果之后再做导演我只会觉得她是飘了。
如果你只是把它当成一件商品，那么眼泪的容量可以跟商品的质量成正比。如果你还把它当成一件艺术品，那么真诚只是优秀艺术品的要素之一，技巧和手法同等重要。"
钢铁的侠,1,872,['2021-02-12'],捞钱就捞钱，捆绑亲情，消费亲人，小品还不够，加长成电影，令人不齿，如果真的爱亲人，会拿出来消费么，不合情理
蜜汁,5,4766,['2021-02-12'],意识到妈妈什么都知道的时候，我哭到抽搐。贾玲太有才了。在读你和我时就在想，逝去的父母是靠儿女的记忆继续活着，而如果你可以写作，或者像贾玲一样用一部电影来纪念，那他们就一直活着。他们的精彩也都没有被忘却。这是贾玲给自己的交代。我不停的想，到底我不能接受的是什么，如果她的一生在自己活着时就去全都熠熠闪光，那死去时也不能称之为遗憾，只是命运。
西楼尘,4,581,['2021-02-13'],以为穿越是为了改变她的人生轨迹，竟然只是了却自己的遗憾。原来从天而降的大胖妞无论有多重，她都会毫不犹豫接住她的宝儿。裤子无论多破，她都会缝成小熊。今生母女一场，只能化作目送。以为她希望我有出息，原来她只需要我平安。以为她想换个女儿，原来她从没后悔。以为多了解她，原来还是误会了她。
王大根,3,408,['2021-02-13'],其实还是小品段子电影，最大的梗电影看得稍多些的观众一早就能猜到，但胜在有真感情，没有绝大部分国产喜剧那股鸡贼味。这片或许确实只能由贾玲自己来拍，换别的导演，就算拍得更成熟、更电影，恐怕也达不到现在的效果，或者说，就会是另一个故事了。
嘟嘟熊之父,2,913,['2021-02-12'],圆故事的方式太拙劣，谁说母亲的归宿只有牺牲自己成就别人？原版小品用三十分钟向我们展示了操劳一生的母亲年少时不被女儿所知的单纯和快乐，那是属于她自己的黄金年代；而电影用一百三十分钟向我们展示了母亲即便在弥留之际回到过去，依然一心只想陪女儿演戏让女儿开心。小品的哭点在于不舍与悔恨，电影的哭点在于崇高而伟大的母爱。不过如果贾玲能靠这片坐稳中国喜剧第一把交椅，再也不用跟沈腾陈赫这些老黄瓜合作，向我国油腻中年男导演看齐找一些脸蛋肉体都完美的年轻男演员搭戏，也算是功德一件。
走路去东京,5,3666,['2021-02-12'],这是今年春节档，我最最想看的一部电影。《你好李焕英》的小品，是千禧年之后我心目中最佳小品前三，即便珠玉在前，当得知要影视化的时候，依然期待爆棚。作为贾玲的导演处女座，这部作品是值得肯定的，笑点泪点恰到好处，没有硬搞笑也没有刻意煽情。子欲养而亲不待，她在讲一个珍惜亲情的故事，也在讲当代女性意识的觉醒，不鼓吹生育，不鼓吹婚姻，而是让我们看到，任何一个女性在成为妈妈之前，第一个身份首先应该是她自己。祝天下所有“李焕英”永远快乐。
MilkyWay18,5,3062,['2021-02-13'],最戳我的就是在知道了48岁的李焕英是穿越回去的后，想起那句“我这一辈子过得挺幸福的，怎么就没人相信呢。”
xi-xia,5,2547,['2021-02-12'],喜剧的内核是悲剧，这封贾玲写给妈妈的情书，也是中国很多妈妈的写照。有时候真的觉得，她的后半生似乎一无所有，除了我。
没有感情的机器,2,717,['2021-02-12'],张小斐还行，整体观感就像看现如今强迫你笑你哭的春晚小品，对不起我真的入不了戏。
白子耀眼,2,694,['2021-02-12'],我不喜欢，我不觉得好笑，也不觉得感动
楚肥羊,5,2483,['2021-02-13'],贾玲说她把心掏出来给观众看了，我想说，我看到了。
索索,1,720,['2021-02-12'],贾玲你这样算不算恰烂钱？我就想问这个电影要干嘛？你要煽情没问题要找人客串没问题，要搞笑都没问题！可你什么都来一点。大杂糅无非就是要保证票房而已！
陀螺凡达可,2,473,['2021-02-13'],2.5 穿越梗是人家三十多年前玩剩下的套路，拍得也很糟糕（导演问题），全程味同嚼蜡，直到最后那个反转。这是皮克斯式的情感/视角反转（参考瓦力、玩具3和Coco），学到了精髓而奏效，可惜又处理得过于繁重拖沓。当然电影之外的真情实感的确很动人。
谢谢你们的鱼,2,432,['2021-02-12'],80年代性转夏洛一点不烦恼，从头到尾的无聊和尴尬，贾玲说说是讲述自己和妈妈的故事，其实真的和妈妈一点关系都没有，尤其是李焕应这个角色，就是一个工具人而已。一个小品撑长到电影长度已经很勉强了，结果还在小品里面套小品和段子就更让人难以忍受了。整个故事真的可以说一马平川，没有真正的人物矛盾，没有真正的情节波折，甚至，连整个故事的情感支点都是虚的，剧本的堆砌感实在是太强了，结构散得一塌糊涂，观众是真的好骗呀！
周树人,1,722,['2021-02-12'],打着亲情牌圈钱  说难听就叫消费亲妈
Eurus,5,2383,['2021-02-13'],最让人泪崩的是，我知晓未来所发生的一切，依然选择你这件小棉袄来陪我走过一生。
丽菲儿,1,638,['2021-02-12'],第一次见卖惨卖到拿自己母亲去世赚钱的
陈屾,5,1571,['2021-02-12'],笑的不尴尬，哭的脑壳疼。
Unhinged,3,521,['2021-02-15'],8.3分绝对是太不正常了。《李焕英》你不能说它差，但也绝对称不上好，只是前些年综艺大电影版的变形罢了。主题选择了“子欲养而亲不在”，表达上却仅限于一味的情感宣泄，里面其实你很难找出一个完整鲜活的角色，母、女也只是传统文化几千年来堆砌出来的固定形象，除了伟大和孝顺找不到更多的形容词。
vincentblack,1,577,['2021-02-12'],不想在大过年的接受情感强奸。
紫气东&gt;飞,1,539,['2021-02-12'],名气大了是好圈钱阿……
布列锡,1,446,['2021-02-13'],这个渴求被煽情的民族太让人心疼了。新闻联播和感动中国培养的审美观让他们贡献自己的泪点以便营销前来收割……也在荧幕前流泪，但走出电影院后只剩下满世界的尴尬。
大块冰,5,1367,['2021-02-12'],人们想要奇迹太多了，上帝又太忙了，所以有了妈妈。
乱.,5,1260,['2021-02-12'],实话实说我哭抽抽了  看见张小斐想喊声妈的程度
金惠子,5,1038,['2021-02-13'],散场以后我挎着妈妈散步回家，我想着她，她应该想着她妈妈吧。
少侠  我姓邢,5,1056,['2021-02-13'],大家来看这一部吧，别看唐3了
Josiah,5,937,['2021-02-12'],好看，这是一部贾玲送给她妈妈的电影，也是一部充满女性意识的电影，你可以带着自己的妈妈去看，绝对能够从其中获得很多感悟。贾玲也是一个非常有才华的演员，整部片子非常搞笑，很多地方都非常戳我的笑点。但也是泪点笑点兼具，有很多让人意想不到的细节，尤其是结尾，神反转。所以不要被剧透，一定要亲自去看。春季档强烈推荐！
哪吒男,3,408,['2021-02-12'],催泪神器，给四颗星五颗星都可以理解，毕竟大家都太想“让妈妈高兴”了。
書崎,1,516,['2021-02-12'],歌颂母德，令人不适。如果一个创作者的私人情绪泛滥成灾，那么最终成品也只能是一个灾难。
刘源,3,457,['2021-02-12'],仅强于《囧妈》，结尾不错改分了
Kiiiii,4,690,['2021-02-12'],没有预料到的剧情，大年初一大家一起在电影院哭一场(⸝⸝⸝ᵒ̴̶̥́ ⌑ ᵒ̴̶̣̥̀⸝⸝⸝)所以她妈到底有没有想过走另一条路呢贾玲不知道也没人会知道了。
二月鸟语,4,376,['2021-02-12'],7.8/10，强烈推荐！片子拍的真好，真正意义上的笑泪齐飞，超出预期太多。贾玲的情感太真了，看小品的时候就哭的稀里哗啦的，没想到看电影哭的更厉害，看的时候想起了我的母亲，共情力太强，最后一幕眼泪根本止不住，现在想起来心里还酸酸的。故事改编自贾玲亲身经历，当你带着诚恳的真挚的感情去拍片，观众一定会找到共情。相比那些带着虚假情感强行煽情的作品，贾玲的真情实感最打动人！
李梓楠,4,345,['2021-02-12'],在夏洛特烦恼的穿越梗用得已经烂大街的时候，贾玲用亲情再次焕发了生机
阿蓝不难,5,889,['2021-02-12'],"“我的女儿，只要她健康快乐就行了。”本来以为只是贾晓玲穿越回了1981年，没想到原来2001年的李焕英也穿越回了20年前，这里真的设计得太巧妙了。重来一回，李焕英还是会选择当玲儿的妈妈啊。开头李焕英看见从天而降的玲儿，下意识地就要去接住玲儿，这就是母爱吧。这种感情可能真的只有母女会懂吧。
前半部分贾玲沈腾真的好好笑哈哈哈哈哈哈哈。
贾玲在影片里用了好几次华仔的歌，不愧是华仔的真爱粉。
啊对，通过黑白照片染色这一方式呈现画面也蛮有创意。
哭笑交叉的一部电影。"
MORGAN,2,421,['2021-02-12'],“观众已经笑得不行了”
