豆瓣路人己,2,3150,['2021-02-12'],听说过这片子不如《晴雅集》，看之前我不信，看完之后，我深信！
孙柔软,3,5385,['2021-02-12'],确定不是打着陈坤和周迅的幌子捧渣男和瞪眼妹？
六姨太,4,1117,['2021-02-12'],周迅一双鹿眼真是好看，那天生就是要登大银幕的。
华盛顿樱桃树,3,1697,['2021-02-12'],好久没见这么饱和的视效大片，好过之前某版。陈坤周迅一出来就显得片子好贵，就想看这些老牌大明星啊。虽然周迅这次很花瓶，但陈坤真是这类角色做到了角色统治，披头散发太美了。
鬈毛毛,1,2097,['2021-02-12'],好久没在大荧幕上看mv了，观感不错，我这就携全家给郭敬明道歉去
已注销,1,1392,['2021-02-12'],"是看了想给晴雅集改分的水平。  
避雷：真正的男主是屈楚萧。"
sundaland,3,577,['2021-02-12'],一个老年重度熬夜患者，起大早去看电影看完真想吐血，见证了中年玛丽苏现场，博雅神乐强拉cp，阴阳寮战力拉胯，残血惨遭暗杀，各主角严重ooc，ssr就出了一个茨木童子，除此以外最厉害的居然是雪女和桃花妖，晴明还需要自己去打架，是请不演员吗，全程无高潮，是做不起特效吗，真的很无语啊，买票看的不就是各种炫酷结印，各路ssr互殴，不是看你赤身肉搏啊，庭院住的都是什么小辣鸡啊，还有，博雅是用弓的，真，无语
咪咕噜,4,929,['2021-02-12'],阴阳师死忠粉前来报道！是我喜欢的风格！本来以为真人版多少会有点违和其实并没有！满意子满意子，就是不知道凭票根能不能送ssr哈哈哈哈哈哈
仇丑,3,394,['2021-02-12'],天邪鬼赤演技碾压所有演员。
旭轮,2,2523,['2021-02-12'],男一屈楚萧女一沈月
今天也没有吃鸡,3,292,['2021-02-12'],万万没想到是我妈要求去看的，曾经痴迷阴阳师的我看到镰鼬想到日肝夜肝的过去，也太怀念了，庭院里的小式神都好可爱哦~天邪鬼赤和橡皮糖似的皮实，雪女出场造型还以为是青行灯，以为沈月小个子和圆圆脸演神乐居然挺合适，我爹看上了陈伟霆，我妈喜欢桃花妖，我想看看烟烟罗，酒吞童子，大天狗……结果只有鸦天狗emmm整个故事一般般很乱主题很多很复杂，前半段又要讲故事又要把人都凑齐，也是挺赶的
Eorl,2,1429,['2021-02-12'],虽然我是挺讨厌小四的，但不得不说这片子故事性没得晴雅集好，别洗了，说晴雅集好看的绝不会是因为小四啊，是这片太难看了。忍不住花了钱也想打差评系列。
LING,3,344,['2021-02-12'],强过晴雅集
Thomas,2,675,['2021-02-12'],有陈坤周迅，这电影能这么无聊也是厉害了👍
鳄梨绿的电冰箱,2,469,['2021-02-12'],我想用儿童文学作对比我都找不到叙事这么单薄的儿童文学 
天马星,1,1160,['2021-02-12'],大型预告骗，片方都不敢把主角印在海报，导致进场看到这个人一阵恶心，最搞笑的可能就是陈坤那句扣扣嗖嗖，某人戏里戏外的形象可真是一致啊。剧情《雪妖魔灵》化，服化道《捉妖记》化，打斗《奇门遁甲》化，整个二流奇幻电影垃圾回收场，这里真的要给《晴雅集》道个歉，你们的服化道+音乐+视效真的吊打竞对啊！
北岛淳子,4,720,['2021-02-12'],这么多年了，陈坤&周迅同框依旧是华语最舒适的银幕CP，爷青回很满足。晴明和百旎青梅竹马的感情早已超越男女之爱，是那种灵魂深处的彼此信任和守护，即便带到演员身上也很信服，这对角色塑造很重要，也是本片最重要的感情内核，比想象中更加震撼人心，几度动容。白发晴明梦回厂花，最惊讶陈坤的五官比以前更精致了，周迅的皮肤也是好到不行，太养眼了，都怎么保养的？
詩文,1,758,['2021-02-12'],竟然比晴雅集还难看
草原小妹妹,3,286,['2021-02-13'],你们用陈坤周迅把我骗进来，给我看屈楚萧沈月？？？白瞎陈周
白竹,4,636,['2021-02-12'],美强惨设定的晴明和陈坤不要太契合，如果论美的视觉效果，应该是春节档最强当之无愧。基本上符合对阴阳师的预期，老手游玩家看的还是挺爽的。故事节奏还不错，晴明献祭妖王，以肉身作为代价拯救苍生是高光瞬间，曾被世界背弃的人，回过头来又拯救世界，这个梗我白吃不厌。PS：陈伟霆的中二红发是亮点。
🐳🌟😋,1,667,['2021-02-12'],海报和宣传没有屈楚萧，结果电影里他是主演，比陈坤周迅戏份还多，这不是虚假宣传吗？
^^,4,523,['2021-02-12'],有陈坤和周迅就值回票价！
朱美玩泥巴,2,422,['2021-02-12'],好尬好无趣的剧情，主演屏幕上脸都略垮，四分之三时间都在打瞌睡。😪
Bununu,2,319,['2021-02-12'],……这剧情是用脚趾头想的吗……主角根本不是陈坤，是屈楚萧才对吧？这也不是晴明的故事，这是一堆配角的故事+捉妖记的故事，三毛特效+三流剧情，真不是我苛刻，几乎坐满了，但是我前后左右都感觉屁股长刺坐不住，狂打哈欠……多一星给厂花，希望他多点好本子
哈哈大笑,1,515,['2021-02-12'],导演水平还是很差 可以看见电影里面有模仿捉妖记痕迹 男主再一次重复厂花角色 不如晴雅集
Ruby,2,304,['2021-02-12'],实在太无聊了，太尴尬了
豆蔻年华,1,444,['2021-02-12'],啥呀。场面撑不起配乐。各种尬演，拍的太草率了。
莉莉瑞瑞斯,2,299,['2021-02-12'],诈骗诈骗！屈楚萧戏份比坤迅还多！活该扑街！
白目,1,417,['2021-02-12'],屈楚萧会接是因为想合法做s吧“我就是你的主人”。
希bo莱,3,219,['2021-02-12'],除了厂花、周公子，美且妖孽得不可方物，剧情比较平淡
软杏,1,389,['2021-02-12'],屈楚萧怎么还没糊🤮片方也是阴阳人，说好的主演陈坤周迅，结果摇身一变变成了沈月屈楚萧，陈伟霆的戏份还没屈楚萧多，这算哪门子主演？？？
烦躁蛋炒饭,1,364,['2021-02-12'],阴阳师玩家看了直骂街。犹如《千与千寻》+《哈利波特》+《我和僵尸有个约会》大杂烩。神乐选角烂到无比，不是矮就能演神乐的。源博雅人设改到仿佛一个冲动的智障。陈坤演啥都已经厂花化了。(说好看，值回票价的水军，你们良心不会痛吗？
StephenYKQ,1,357,['2021-02-12'],非常难看。非常差。刚开始还想说是低配版狄仁杰，我这么想真是对不住徐克。真的是恶心他妈给恶心开门。我没睡的唯一原因是快被气死了。离谱。好久没看到这么差的电影，第一次这么差的电影我还坚持到看完了。我以人格担保，《晴雅集》要比这个好看一百倍（我知道不是同一个本子）。怎么说，《侍神令》真的是一无是处，各种技术问题，故事、人物等等啥都完全不堪入目。这个黑化陈伟霆真的不如《爵迹》哦！不知道要用怎样恶劣的语言去描述这样一部电影——啊这也配得上叫电影吗？陈坤真的人间油物，这个傻逼还装逼的形象是他本人吧，突然好喜欢黄晓明了。最伤心的是要脱粉王博学了，干啥呢，给你ALEXA LF是用来跑焦的？隔壁《晴雅集》VENICE疯狂推镜头呢还……呕
三水,1,301,['2021-02-12'],"我后悔在开场五分钟想走的时候没走，有这么骗钱的吗？？？音乐服装做的浮于表面，动画特技创近几年影院观影最差，剧情就是 shit  ,   不等评分出来再看我就是🐶"
看个电影不容易,1,258,['2021-02-12'],陈坤周迅是喜欢的 但这个片子一言难尽… 仿佛看到了年前3.多的 赤狐书生… 比郭敬明还差！
有心打扰,2,223,['2021-02-12'],论人妖SM文化的博大精深，抖M对主人的一往情深，誓死相随。
？？？,1,213,['2021-02-12'],冲着游戏ip去的，结果大失所望，只能用四个字来形容：极其无聊🙄️
